카테고리,회사명,제품,가격,사용시간,흡입력
핸디/스틱청소기,캐치웰,CV6 플러스,99000.0,40.0,
핸디/스틱청소기,욜로닉스,로헨 L30,186000.0,50.0,
핸디/스틱청소기,비즈포비즈,클래파 BVC-H10,41810.0,20.0,
핸디/스틱청소기,샤오미,TROUVER TECH SOLO10,76980.0,48.0,180.0
핸디/스틱청소기,신일전자,SVC-650SG,41080.0,,
핸디/스틱청소기,샤오미,드리미 T20,378990.0,70.0,250.0
핸디/스틱청소기,보쉬,유니버셜백 18,130380.0,20.0,
핸디/스틱청소기,삼성전자,비스포크 제트 VS20A957F3,902900.0,60.0,
핸디/스틱청소기,삼성전자,비스포크 슬림 VS15A680AF,354990.0,50.0,
핸디/스틱청소기,리하스,S3,149000.0,42.0,
핸디/스틱청소기,아이룸,마카롱 M20,59000.0,30.0,
핸디/스틱청소기,LG전자,코드제로 ThinQ A9S 펫 AS9571BPGKT,1140280.0,60.0,
핸디/스틱청소기,블랙앤데커,BDCDB18N,35990.0,,
핸디/스틱청소기,마끼다,DCL281FZW,129640.0,20.0,
핸디/스틱청소기,삼성전자,제트 VS20T9253QDCS,559990.0,60.0,
핸디/스틱청소기,아이룸,제우스 i30,149000.0,40.0,
핸디/스틱청소기,쿠쿠전자,인스퓨어 파워클론 CVC-A1420UG,238510.0,,230.0
핸디/스틱청소기,에어메이드,THE 500+ AMC-4500,224720.0,,
핸디/스틱청소기,삼성전자,비스포크 제트 VS20B957G5,1221140.0,60.0,
핸디/스틱청소기,홈마블,H80,49800.0,30.0,
핸디/스틱청소기,LG전자,코드제로 ThinQ A9S AS9571,1076690.0,60.0,
핸디/스틱청소기,신일전자,SVC-PB195BUP,98990.0,35.0,
핸디/스틱청소기,유니맥스,UVC-1688,19180.0,,
핸디/스틱청소기,지웰,벤투스 아쿠아 맥스,329000.0,30.0,
핸디/스틱청소기,쿠팡,홈플래닛 CP-HVC03,47790.0,22.0,
핸디/스틱청소기,신일전자,SVC-B880,49990.0,9.0,
핸디/스틱청소기,신일전자,롤링스턴 SVC-PEG330,99000.0,40.0,
핸디/스틱청소기,마끼다,DCL180Z,48260.0,,
핸디/스틱청소기,BDC,얼티메이트,63710.0,40.0,80.0
핸디/스틱청소기,아이룸,F1,71500.0,25.0,
핸디/스틱청소기,블랙앤데커,PV1020,69960.0,11.0,
핸디/스틱청소기,삼성전자,제트 VS15A6031N5AA,273810.0,,
핸디/스틱청소기,루베크,CM-268,23900.0,8.0,
핸디/스틱청소기,마끼다,DCL182ZW,33910.0,40.0,
핸디/스틱청소기,플러스마이너스제로,F021,279750.0,57.0,
핸디/스틱청소기,캐치웰,CX11,189000.0,60.0,
핸디/스틱청소기,다이슨,V10 앱솔루트,678420.0,60.0,
핸디/스틱청소기,샤오미,디어마 VC01,54900.0,30.0,
핸디/스틱청소기,코코민트,트윈파워 OP-030,158990.0,40.0,230.0
핸디/스틱청소기,파나소닉,MC-A10,217550.0,40.0,
핸디/스틱청소기,유니맥스,UVC-1694B,29880.0,,
핸디/스틱청소기,신일전자,SVC-D900RK,31010.0,15.0,
핸디/스틱청소기,DIBEA,D18 플러스,86620.0,45.0,
핸디/스틱청소기,삼성전자,비스포크 제트 VS20A957G2,857790.0,60.0,
핸디/스틱청소기,삼성전자,비스포크 제트 VS20A956E3,767910.0,60.0,
핸디/스틱청소기,아이리스,IC-SLDC1,74151.0,,
핸디/스틱청소기,테팔,에어포스 라이트 TY6545KL,127700.0,30.0,
핸디/스틱청소기,베이스어스,C2 데스크 캡슐 청소기,16900.0,20.0,
핸디/스틱청소기,일렉트로룩스,에르고라피도 파워프로 ZB3411,170170.0,48.0,
핸디/스틱청소기,신일전자,SVC-P5000HP,39110.0,10.0,
핸디/스틱청소기,툴앤툴,네오스틱 T1,109000.0,30.0,
핸디/스틱청소기,로얄민스터,S10 2세대,133700.0,40.0,
핸디/스틱청소기,비브르,스톰파워 V31000,235000.0,,
핸디/스틱청소기,삼성전자,파워스틱 VS03R6523J2,279150.0,,
핸디/스틱청소기,무궁화전자,바로바로 MC-B100,24410.0,,
핸디/스틱청소기,샤오미,로이드미 S2,267730.0,60.0,235.0
핸디/스틱청소기,신일전자,SVC-S4800SJ,43300.0,9.0,
핸디/스틱청소기,삼성전자,비스포크 제트 VS20A957E2,940350.0,60.0,
핸디/스틱청소기,일럭스고,SVC-1019L,68080.0,20.0,
핸디/스틱청소기,삼성전자,파워스틱 VS60M6010KG,388000.0,40.0,
핸디/스틱청소기,LG전자,오브제컬렉션 코드제로 ThinQ A9S AS9201WC,695770.0,60.0,
핸디/스틱청소기,쿠팡,홈플래닛 858B-DC,42900.0,,
핸디/스틱청소기,테팔,에어포스360 라이트 이센셜 TY5530,852410.0,33.0,
핸디/스틱청소기,DIBEA,NEW X10 플러스,129000.0,30.0,
핸디/스틱청소기,레이캅,RHC-500,98990.0,30.0,
핸디/스틱청소기,테팔,에어포스360 TY9079,359000.0,20.0,
핸디/스틱청소기,다이슨,V7 플러피,355410.0,30.0,
핸디/스틱청소기,유니맥스,UVC-1686A,31080.0,,
핸디/스틱청소기,보겔,GNV-C1,114990.0,40.0,
핸디/스틱청소기,블랙앤데커,EBHHV320B02,65000.0,18.0,
핸디/스틱청소기,한빛시스템,HV-5088,78610.0,,
핸디/스틱청소기,다이슨,V6 헤파,998950.0,20.0,
핸디/스틱청소기,솔리스,AIR651V,59000.0,15.0,
핸디/스틱청소기,DIBEA,M500 퀀텀,189000.0,50.0,
핸디/스틱청소기,LG전자,코드제로 ThinQ A9S AT9300IA,838260.0,60.0,
핸디/스틱청소기,캐치웰,NEW F8,199000.0,25.0,
핸디/스틱청소기,한빛시스템,HV-5099,75960.0,,
핸디/스틱청소기,DIBEA,D18E,118990.0,40.0,
핸디/스틱청소기,샤오미,드리미 T30,426870.0,,270.0
핸디/스틱청소기,테팔,에어포스360 라이트 TY5516KJ,398990.0,33.0,
핸디/스틱청소기,DIBEA,AUTO17000,98000.0,,
핸디/스틱청소기,다이슨,옴니 글라이드 컴플리트+,612820.0,20.0,
핸디/스틱청소기,보아르,포스 D14,98000.0,45.0,
핸디/스틱청소기,LG전자,코드제로 A9 A9200I,728400.0,40.0,
핸디/스틱청소기,샤오미,Shunzao L1,133260.0,,200.0
핸디/스틱청소기,일렉트로룩스,얼티밋홈 900 EFP91825,696310.0,60.0,
핸디/스틱청소기,샤오미,로이드미 Z1,221100.0,60.0,220.0
핸디/스틱청소기,다이슨,V8 앱솔루트,630310.0,40.0,
핸디/스틱청소기,샤오미,SWDK-K11,97980.0,,
핸디/스틱청소기,대웅모닝컴,DWVC-DC9180KP,56480.0,,
핸디/스틱청소기,DIBEA,올인원25000,162890.0,55.0,
핸디/스틱청소기,스위스밀리터리,에어슬림 SMA-BV2200,153700.0,30.0,
핸디/스틱청소기,일렉트로룩스,라피도 리튬 ZB6214IGM,89100.0,24.0,
핸디/스틱청소기,삼성전자,비스포크 제트 VS20A957F3P,821940.0,60.0,
핸디/스틱청소기,샤오미,로이드미 F8E,137080.0,40.0,
핸디/스틱청소기,쿠쿠전자,파워클론 CVC-B1010UG,261540.0,,
핸디/스틱청소기,듀플렉스,DP-485VC,24980.0,,
핸디/스틱청소기,비트로캔디,VC903MF,1274000.0,50.0,
핸디/스틱청소기,신일전자,SVC-499WS,47560.0,,
핸디/스틱청소기,데일리룸,클린에어 DSG-HBWV-2200,472910.0,,
핸디/스틱청소기,저스트원,SN-XR330V,56670.0,,
핸디/스틱청소기,다이슨,V10 플러피,640500.0,60.0,
핸디/스틱청소기,샤오미,드리미 V12 프로,394070.0,85.0,270.0
핸디/스틱청소기,DIBEA,A100,93000.0,35.0,
핸디/스틱청소기,DIBEA,X30,239000.0,50.0,
핸디/스틱청소기,일렉트로룩스,퓨어 F9 PF91-5EBF,287360.0,55.0,
핸디/스틱청소기,오토모,AVC-OTOA6,726790.0,60.0,
핸디/스틱청소기,신일전자,SVC-S21JA,104560.0,,
핸디/스틱청소기,LG전자,코드제로 A9 A950,933670.0,40.0,
핸디/스틱청소기,신일전자,SVC-599WS,57270.0,10.0,
핸디/스틱청소기,한샘,스톰건 V12 VC-R201,134070.0,35.0,
핸디/스틱청소기,DIBEA,TSX-25000A,181990.0,45.0,
핸디/스틱청소기,일렉트로룩스,얼티밋홈 900 EFP91814WH,599900.0,60.0,
핸디/스틱청소기,DIBEA,D19,70770.0,40.0,
핸디/스틱청소기,모온,오비큠 플러스,249000.0,80.0,
핸디/스틱청소기,블랙앤데커,NSVA315J,41400.0,,
핸디/스틱청소기,샤오미,드리미 V11SE,282380.0,60.0,240.0
핸디/스틱청소기,일렉트로룩스,퓨어 F9 PF91-5OGF,269000.0,55.0,
